model,scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
eTIMES-EUNA,trade,SK,Production|Electricity|Conventional|Gas cc,PJ/year,24.97336,32.60588,44.74666,33.98093,31.49405,53.26743,54.65405
eTIMES-EUNA,trade,GB,Production|Electricity|Conventional|Gas cc,PJ/year,630.5321,833.29775,807.08829,841.89572,955.89546,929.27367,482.85332
eTIMES-EUNA,trade,AT,Production|Electricity|Conventional|Gas chp,PJ/year,43.64524,45.83376,36.87914,36.87914,37.34701,39.2472,39.2472
eTIMES-EUNA,trade,BE,Production|Electricity|Conventional|Gas chp,PJ/year,47.66722,63.48631,64.12969,60.55031,59.87426,57.30666,56.80758
eTIMES-EUNA,trade,BG,Production|Electricity|Conventional|Gas chp,PJ/year,4.44452,4.44452,4.44452,6.40747,6.24215,8.36146,13.086
eTIMES-EUNA,trade,CH,Production|Electricity|Conventional|Gas chp,PJ/year,0.78409,0.78409,0.78409,0.78483,1.6934,1.51939,0.0
eTIMES-EUNA,trade,CZ,Production|Electricity|Conventional|Gas chp,PJ/year,0.0,0.0,0.0,0.0,0.0,0.0,19.89954
eTIMES-EUNA,trade,DE,Production|Electricity|Conventional|Gas chp,PJ/year,279.44209,288.28921,291.65889,299.28252,323.88802,323.88802,323.88802
eTIMES-EUNA,trade,DK,Production|Electricity|Conventional|Gas chp,PJ/year,32.44844,32.44844,32.44844,32.44844,32.44845,25.67266,25.49023
eTIMES-EUNA,trade,EE,Production|Electricity|Conventional|Gas chp,PJ/year,0.432,0.432,0.432,0.432,0.432,0.36134,0.0
eTIMES-EUNA,trade,ES,Production|Electricity|Conventional|Gas chp,PJ/year,93.67626,93.67557,93.69096,46.24085,49.27808,49.27808,49.27808
eTIMES-EUNA,trade,FI,Production|Electricity|Conventional|Gas chp,PJ/year,47.37862,43.87015,43.97059,30.70326,25.32987,20.36579,0.0
eTIMES-EUNA,trade,FR,Production|Electricity|Conventional|Gas chp,PJ/year,53.62677,48.58463,50.34343,50.38088,54.85505,60.5545,57.00457
eTIMES-EUNA,trade,GR,Production|Electricity|Conventional|Gas chp,PJ/year,8.19093,8.19093,8.19093,8.19093,8.19094,8.19112,9.3384
eTIMES-EUNA,trade,HR,Production|Electricity|Conventional|Gas chp,PJ/year,2.00275,2.00275,2.00275,2.21827,2.21827,2.33927,2.35216
eTIMES-EUNA,trade,HU,Production|Electricity|Conventional|Gas chp,PJ/year,13.35622,13.37265,13.37265,13.30378,6.43998,6.46165,6.43998
eTIMES-EUNA,trade,IE,Production|Electricity|Conventional|Gas chp,PJ/year,3.49544,3.50611,3.73091,8.21302,7.87047,8.75569,8.73555
eTIMES-EUNA,trade,IS,Production|Electricity|Conventional|Gas chp,PJ/year,7.38272,1.60657,5.78097,1.72087,0.19599,0.07688,0.0
eTIMES-EUNA,trade,IT,Production|Electricity|Conventional|Gas chp,PJ/year,122.62161,131.69781,117.05818,124.74862,125.0963,125.0963,126.86841
eTIMES-EUNA,trade,LT,Production|Electricity|Conventional|Gas chp,PJ/year,1.74833,2.00806,1.13842,1.33839,1.27377,1.27377,1.27377
eTIMES-EUNA,trade,LU,Production|Electricity|Conventional|Gas chp,PJ/year,1.08368,0.67587,0.80339,1.02855,0.95334,0.81099,0.0
eTIMES-EUNA,trade,LV,Production|Electricity|Conventional|Gas chp,PJ/year,10.18856,10.1356,10.2267,3.27218,3.10031,3.6043,3.32573
eTIMES-EUNA,trade,NL,Production|Electricity|Conventional|Gas chp,PJ/year,108.11184,112.962,108.1099,109.31558,111.20883,111.20883,110.7936
eTIMES-EUNA,trade,NO,Production|Electricity|Conventional|Gas chp,PJ/year,10.81403,10.81403,10.81403,10.81403,10.81403,10.66598,9.06582
eTIMES-EUNA,trade,PL,Production|Electricity|Conventional|Gas chp,PJ/year,80.05377,80.54989,40.63009,28.22146,25.7927,34.22076,34.22076
eTIMES-EUNA,trade,PT,Production|Electricity|Conventional|Gas chp,PJ/year,21.18523,21.18523,21.18523,21.18523,22.84203,22.62591,22.2053
eTIMES-EUNA,trade,RO,Production|Electricity|Conventional|Gas chp,PJ/year,22.4273,22.5285,18.85423,18.85423,19.03378,21.39872,21.41266
eTIMES-EUNA,trade,SE,Production|Electricity|Conventional|Gas chp,PJ/year,17.37579,17.37579,17.37579,21.64965,21.64965,0.0,0.0
eTIMES-EUNA,trade,SI,Production|Electricity|Conventional|Gas chp,PJ/year,3.9851,3.9832,3.9986,1.99516,1.99516,1.99927,2.10884
eTIMES-EUNA,trade,SK,Production|Electricity|Conventional|Gas chp,PJ/year,8.12645,8.12645,3.59447,3.39941,3.39941,3.23889,3.23889
eTIMES-EUNA,trade,GB,Production|Electricity|Conventional|Gas chp,PJ/year,46.3825,46.42244,52.03439,52.03439,52.03439,52.80693,82.79759
eTIMES-EUNA,trade,LU,Production|Electricity|Conventional|Gas oc,PJ/year,0.06042,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,NO,Production|Electricity|Conventional|Gas oc,PJ/year,0.0,0.0,0.0,0.0,0.0,0.0,0.81596
eTIMES-EUNA,trade,AT,Production|Electricity|Conventional|Oil,PJ/year,6.1431,1.88372,1.8757,0.00232,0.0,0.0,0.0
eTIMES-EUNA,trade,BE,Production|Electricity|Conventional|Oil,PJ/year,2.18385,1.9492,1.86113,1.8604,0.0,0.0,0.0
eTIMES-EUNA,trade,BG,Production|Electricity|Conventional|Oil,PJ/year,28.79377,28.79377,28.79377,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,CZ,Production|Electricity|Conventional|Oil,PJ/year,0.52768,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,DE,Production|Electricity|Conventional|Oil,PJ/year,24.26572,8.13325,2.57178,1.67172,0.0,0.0,0.0
eTIMES-EUNA,trade,DK,Production|Electricity|Conventional|Oil,PJ/year,1.36789,1.12221,0.40234,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,EE,Production|Electricity|Conventional|Oil,PJ/year,22.80601,21.1542,19.85211,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,ES,Production|Electricity|Conventional|Oil,PJ/year,38.42273,11.21412,0.48869,0.13058,0.0,0.0,0.0
eTIMES-EUNA,trade,FI,Production|Electricity|Conventional|Oil,PJ/year,9.64008,4.13678,4.13678,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,FR,Production|Electricity|Conventional|Oil,PJ/year,17.35044,14.52815,0.14944,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,GR,Production|Electricity|Conventional|Oil,PJ/year,9.28121,0.6542,0.6542,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,HR,Production|Electricity|Conventional|Oil,PJ/year,0.44858,0.42617,0.42617,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,HU,Production|Electricity|Conventional|Oil,PJ/year,0.59587,0.20122,0.03979,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,IE,Production|Electricity|Conventional|Oil,PJ/year,6.6059,0.5498,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,IS,Production|Electricity|Conventional|Oil,PJ/year,0.02498,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,IT,Production|Electricity|Conventional|Oil,PJ/year,30.50891,29.34396,18.48563,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,LT,Production|Electricity|Conventional|Oil,PJ/year,0.24708,0.24638,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,LV,Production|Electricity|Conventional|Oil,PJ/year,9e-05,9e-05,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,NL,Production|Electricity|Conventional|Oil,PJ/year,3.01459,3.01459,0.71776,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,PL,Production|Electricity|Conventional|Oil,PJ/year,134.71339,125.60578,125.60578,35.78442,4.68187,0.0,0.0
eTIMES-EUNA,trade,PT,Production|Electricity|Conventional|Oil,PJ/year,5.59443,2.87514,2.87514,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,RO,Production|Electricity|Conventional|Oil,PJ/year,2.1797,2.1797,2.17862,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,SE,Production|Electricity|Conventional|Oil,PJ/year,0.52284,0.24208,0.24208,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,SI,Production|Electricity|Conventional|Oil,PJ/year,0.05353,0.02248,0.02248,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,SK,Production|Electricity|Conventional|Oil,PJ/year,2.43584,2.03862,2.02824,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,GB,Production|Electricity|Conventional|Oil,PJ/year,8.06733,4.87047,1e-05,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,CH,Production|Electricity|Conventional|Sludge,PJ/year,0.46131,0.46131,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,CZ,Production|Electricity|Conventional|Sludge,PJ/year,6.34245,3.36997,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,DE,Production|Electricity|Conventional|Sludge,PJ/year,0.35845,0.35301,0.03543,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,DK,Production|Electricity|Conventional|Sludge,PJ/year,0.23534,0.23534,0.04379,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,ES,Production|Electricity|Conventional|Sludge,PJ/year,0.0136,0.0136,0.00132,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,FR,Production|Electricity|Conventional|Sludge,PJ/year,0.67196,0.67196,0.33953,0.05251,0.0,0.0,0.0
eTIMES-EUNA,trade,HU,Production|Electricity|Conventional|Sludge,PJ/year,0.11936,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,SE,Production|Electricity|Conventional|Sludge,PJ/year,0.00474,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,AT,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.00731,0.08866,0.00731,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,BE,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,8.11706,8.74726,1.91519,0.95398,0.0,0.0,0.0
eTIMES-EUNA,trade,BG,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,6.24019,6.24019,6.2159,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,CH,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,3.35562,3.10018,1.27611,0.83167,0.0,0.0,0.0
eTIMES-EUNA,trade,CZ,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,10.71387,10.56695,10.56695,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,DE,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,13.4671,0.37806,0.26464,0.20114,0.0,0.0,0.0
eTIMES-EUNA,trade,DK,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,5.0659,4.20735,4.20415,4.20415,0.0,0.0,0.0
eTIMES-EUNA,trade,ES,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.29427,0.29427,0.20599,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,FI,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,32.52,30.54244,30.65409,0.11004,0.0,0.0,0.0
eTIMES-EUNA,trade,FR,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,9.7362,3.33884,0.87516,0.00116,0.0,0.0,0.0
eTIMES-EUNA,trade,GR,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.07422,0.07422,0.05227,0.00106,0.0,0.0,0.0
eTIMES-EUNA,trade,HR,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,3.85388,2.99383,2.99383,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,HU,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,3.12087,3.10445,3.10386,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,IE,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,3.0798,3.0798,3.33834,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,IT,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,30.69717,1.30623,0.02168,0.02134,0.0,0.0,0.0
